County,Precinct,Bennet_First_Expression,Bennet_Final_Expression,Bennet_SDE,Biden_First_Expression,Biden_Final_Expression,Biden_SDE,Bloomberg_First_Expression,Bloomberg_Final_Expression,Bloomberg_SDE,Buttigieg_First_Expression,Buttigieg_Final_Expression,Buttigieg_SDE,Delaney_First_Expression,Delaney_Final_Expression,Delaney_SDE,Gabbard_First_Expression,Gabbard_Final_Expression,Gabbard_SDE,Klobuchar_First_Expression,Klobuchar_Final_Expression,Klobuchar_SDE,Patrick_First_Expression,Patrick_Final_Expression,Patrick_SDE,Sanders_First_Expression,Sanders_Final_Expression,Sanders_SDE,Steyer_First_Expression,Steyer_Final_Expression,Steyer_SDE,Warren_First_Expression,Warren_Final_Expression,Warren_SDE,Yang_First_Expression,Yang_Final_Expression,Yang_SDE,Other_First_Expression,Other_Final_Expression,Other_SDE,Uncommitted_First_Expression,Uncommitted_Final_Expression,Uncommitted_SDE
Benton,Homer_Monroe_Jackson_Garrison,0.0,0.0,0.0,5.0,5.0,0.15,0.0,0.0,0.0,3.0,3.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Iowa_Leroy_Luzerne_Blairstown,0.0,0.0,0.0,12.0,16.0,0.375,0.0,0.0,0.0,12.0,18.0,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Florence_St_Clair_Norway,0.0,0.0,0.0,19.0,20.0,0.45,0.0,0.0,0.0,8.0,9.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Benton,Polk_Urbana,0.0,0.0,0.0,21.0,25.0,0.45,0.0,0.0,0.0,22.0,27.0,0.525,0.0,0.0,0.0,1.0,0.0,0.0,13.0,14.0,0.225,0.0,0.0,0.0,13.0,17.0,0.3,3.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Benton,Kane_Keystone,0.0,0.0,0.0,7.0,8.0,0.225,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.225,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Walford,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,6.0,7.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.225,0.0,0.0,0.0,9.0,10.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Benton,Vinton_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.15,0.0,0.0,0.0,3.0,9.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Vinton_3,0.0,0.0,0.0,10.0,11.0,0.15,0.0,0.0,0.0,18.0,19.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.15,0.0,0.0,0.0,12.0,12.0,0.225,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Benton,Eldorado_Newhall,0.0,0.0,0.0,13.0,16.0,0.3,0.0,0.0,0.0,5.0,8.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.225,1.0,0.0,0.0,6.0,6.0,0.075,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Big_Grove_Union_Van_Horne,0.0,0.0,0.0,7.0,7.0,0.075,0.0,0.0,0.0,8.0,8.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,12.0,12.0,0.225,0.0,0.0,0.0,7.0,7.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
